596.97	0.25351	2.98123483
598.86	0.25053	2.98696854
600.75	0.24756	2.99270225
602.64	0.24459	2.99843596
604.53	0.24162	3.00416966
606.42	0.23864	3.00990337
608.31	0.23567	3.01563708
610.20	0.23270	3.02137079
612.09	0.22972	3.02710449
613.98	0.22675	3.03283820
615.87	0.22378	3.03857191
617.76	0.22080	3.04430562
619.65	0.21783	3.05003933
621.54	0.21486	3.05577303
623.43	0.21189	3.06150674
625.32	0.20891	3.06724045
627.21	0.20594	3.07297416
629.10	0.20297	3.07870787
630.99	0.19999	3.08444157
632.88	0.19702	3.09017528
634.77	0.19405	3.09590899
636.66	0.19107	3.10164270
638.55	0.18810	3.10737640
640.44	0.18513	3.11311011
642.33	0.18216	3.11884382
644.22	0.17918	3.12457753
646.11	0.17621	3.13031124
648.00	0.17324	3.13604494
649.89	0.17026	3.14177865
651.78	0.16729	3.14751236
653.67	0.16582	3.16921271
655.56	0.16551	3.20314917
657.45	0.16520	3.23708564
659.34	0.16488	3.27102210
661.23	0.16457	3.30495856
663.12	0.16426	3.33889503
665.01	0.16394	3.37283149
666.90	0.16363	3.40676796
668.79	0.16332	3.44070442
670.68	0.16300	3.47464088
672.57	0.16269	3.50857735
674.46	0.16238	3.54251381
676.35	0.16206	3.57645028
678.24	0.16175	3.61038674
680.13	0.16144	3.64432320
682.02	0.16112	3.67825967
683.91	0.16081	3.71219613
685.80	0.16050	3.74613260
687.69	0.16018	3.78006906
689.58	0.16008	3.81059259
691.47	0.16026	3.83625926
693.36	0.16045	3.86192593
695.25	0.16064	3.88759259
697.14	0.16082	3.91325926
699.03	0.16101	3.93892593
700.92	0.16120	3.96459259
702.81	0.16138	3.99025926
704.70	0.16157	4.01592593
706.59	0.16176	4.04159259
708.48	0.16194	4.06725926
710.37	0.16213	4.09292593
712.26	0.16232	4.11859259
714.15	0.16250	4.14425926
716.04	0.16269	4.16992593
717.93	0.16288	4.19559259
719.82	0.16306	4.22125926
721.71	0.16325	4.24692593
723.60	0.16344	4.27259259
725.49	0.16362	4.29825926
727.38	0.16381	4.32392593
729.27	0.16400	4.34959259
731.16	0.16441	4.37080263
733.05	0.16482	4.39194079
734.94	0.16524	4.41307895
736.83	0.16565	4.43421711
738.72	0.16607	4.45535526
740.61	0.16648	4.47649342
742.50	0.16689	4.49763158
744.39	0.16731	4.51876974
746.28	0.16772	4.53990789
748.17	0.16814	4.56104605
750.06	0.16855	4.58218421
751.95	0.16897	4.60332237
753.84	0.16938	4.62446053
755.73	0.16980	4.64559868
757.62	0.17021	4.66673684
759.51	0.17062	4.68787500
761.40	0.17104	4.70901316
763.29	0.17145	4.73015132
765.18	0.17187	4.75128947
767.07	0.17228	4.77242763
768.96	0.17270	4.79356579
770.85	0.17311	4.81470395
772.74	0.17353	4.83584211
774.63	0.17394	4.85698026
776.52	0.17444	4.87660735
778.41	0.17495	4.89598259
780.30	0.17546	4.91535783
782.19	0.17597	4.93473308
784.08	0.17649	4.95410832
785.97	0.17700	4.97348356
787.86	0.17751	4.99285880
789.75	0.17802	5.01223404
791.64	0.17853	5.03160928
793.53	0.17904	5.05098453
795.42	0.17956	5.07035977
797.31	0.18007	5.08973501
799.20	0.18058	5.10911025
801.09	0.18109	5.12848549
802.98	0.18160	5.14786074
804.87	0.18212	5.16723598
806.76	0.18263	5.18661122
808.65	0.18314	5.20598646
810.54	0.18365	5.22536170
812.43	0.18416	5.24473694
814.32	0.18467	5.26411219
816.21	0.18519	5.28348743
818.10	0.18570	5.30286267
819.99	0.18621	5.32223791
821.88	0.18672	5.34161315
823.77	0.18723	5.36098839
825.66	0.18775	5.38036364
827.55	0.18835	5.39788983
829.44	0.18906	5.41358644
831.33	0.18976	5.42928305
833.22	0.19047	5.44497966
835.11	0.19117	5.46067627
837.00	0.19188	5.47637288
838.89	0.19258	5.49206949
840.78	0.19329	5.50776610
842.67	0.19399	5.52346271
844.56	0.19470	5.53915932
846.45	0.19540	5.55485593
848.34	0.19611	5.57055254
850.23	0.19681	5.58624915
852.12	0.19752	5.60194576
854.01	0.19822	5.61764237
855.90	0.19893	5.63333898
857.79	0.19963	5.64903559
859.68	0.20033	5.66473220
861.57	0.20104	5.68042881
